label,condition,dot_count_mean,dot_count_max,spread_mean,intensity_mean,duration_s
OFF_171223,OFF(no_privacy),3.68,10,211.5,0.8058,46.5
OFF_171332,OFF(no_privacy),4.81,9,272.7,0.8136,43.1
OFF_171702,OFF(no_privacy),10.79,16,303.8,0.8351,53.0
OFF_171802,OFF(no_privacy),9.19,13,303.7,0.8409,26.7
OFF_171833,OFF(no_privacy),11.02,16,297.7,0.8472,26.1
NEW_175030,NEW,1.59,6,30.3,0.696,65.3
NEW_175141,NEW,2.34,5,59.6,0.7681,15.9
NEW_175201,NEW,1.71,4,36.5,0.7566,12.3
NEW_175218,NEW,2.01,5,45.5,0.7787,9.7
NEW_175232,NEW,1.87,4,42.9,0.7683,11.2
